Date,Ticker,Close,High,Low,Open,Volume
1987-05-05,UNH,0.16317929327487946,0.16933740931656271,0.15702197588725006,0.0,5548800.0
1987-05-05,WMT,0.7058448195457458,0.7105190013530802,0.6933791934988649,0.6964958853174159,17232000.0
1987-05-05,ZSPC,,,,,
1987-05-06,AMZN,,,,,
1987-05-06,COST,7.001717567443848,7.043644019943511,6.875938209944856,6.91786466244452,1174800.0
1987-05-06,INLF,,,,,
1987-05-06,JNJ,2.262648105621338,2.3073897348285395,2.240277486075761,2.2946064121979104,7051200.0
1987-05-06,NVDA,,,,,
1987-05-06,UNH,0.1539432555437088,0.16625868404105612,0.1477851419681681,0.0,2736000.0
1987-05-06,WMT,0.6996119022369385,0.7089608350717003,0.6902629694021767,0.7074027747015027,31603200.0
1987-05-06,ZSPC,,,,,
1987-05-07,AMZN,,,,,
1987-05-07,COST,7.001717567443848,7.085570472443175,6.91786466244452,7.043644019943511,630400.0
1987-05-07,INLF,,,,,
1987-05-07,JNJ,2.237081527709961,2.2690398352486745,2.237081527709961,2.25945253804509,7364800.0
1987-05-07,NVDA,,,,,
1987-05-07,UNH,0.15702196955680847,0.16010062812650505,0.1508638537633936,0.0,1865600.0
1987-05-07,WMT,0.6996119022369385,0.7042860833475312,0.6933790901425718,0.6980538418667409,20683200.0
1987-05-07,ZSPC,,,,,
1987-05-08,AMZN,,,,,
1987-05-08,COST,7.169427394866943,7.211353870860317,7.0017214908934475,7.043647966886821,518800.0
1987-05-08,INLF,,,,,
1987-05-08,JNJ,2.2274930477142334,2.253059680169399,2.2051220492580375,2.2498636560545777,5089600.0
1987-05-08,NVDA,,,,,
1987-05-08,UNH,0.1539432555437088,0.16010057046551546,0.1477851419681681,0.0,1529600.0
1987-05-08,WMT,0.7042863368988037,0.7042863368988038,0.6871470960427281,0.6996121541054509,10968000.0
1987-05-08,ZSPC,,,,,
1987-05-11,AMZN,,,,,
1987-05-11,COST,7.127503871917725,7.504842312195723,7.127503871917725,7.211356858646169,783600.0
1987-05-11,INLF,,,,,
1987-05-11,JNJ,2.1955349445343018,2.3105848004020584,2.1955349445343018,2.2498638480805777,8484800.0
1987-05-11,NVDA,,,,,
1987-05-11,UNH,0.15702196955680847,0.15702196955680847,0.15394331098711186,0.0,1177600.0
1987-05-11,WMT,0.6980540156364441,0.7245427603644935,0.6980540156364441,0.7074029507984781,22809600.0
1987-05-11,ZSPC,,,,,
1987-05-12,AMZN,,,,,
1987-05-12,COST,7.211355209350586,7.211355209350587,7.04364927424941,7.169428725575292,351200.0
1987-05-12,INLF,,,,,
1987-05-12,JNJ,2.208319902420044,2.2115155390658088,2.173165558619581,2.1763615853815206,7260800.0
1987-05-12,NVDA,,,,,
1987-05-12,UNH,0.1539432555437088,0.15702191300461213,0.15086379942907144,0.0,2057600.0
1987-05-12,WMT,0.7183099985122681,0.7183099985122681,0.6964960050991981,0.7011701877103876,19675200.0
1987-05-12,ZSPC,,,,,
1987-05-13,AMZN,,,,,
1987-05-13,COST,7.379056930541992,7.420983390374617,7.169424631378867,7.211351091211492,519200.0
1987-05-13,INLF,,,,,
1987-05-13,JNJ,2.2019267082214355,2.230688978502339,2.1859473657530084,2.211514001609769,9774400.0
1987-05-13,NVDA,,,,,
1987-05-13,UNH,0.1539432555437088,0.15702191300461213,0.1539432555437088,0.0,2163200.0
1987-05-13,WMT,0.7167519927024841,0.7183100536925703,0.7042863635541883,0.7167519927024841,16344000.0
1987-05-13,ZSPC,,,,,
1987-05-14,AMZN,,,,,
1987-05-14,COST,7.29520320892334,7.504835485041826,7.29520320892334,7.420982574594432,436400.0
1987-05-14,INLF,,,,,
1987-05-14,JNJ,2.1891446113586426,2.208319598946677,2.17316525997722,2.201927936417332,5329600.0
1987-05-14,NVDA,,,,,
1987-05-14,UNH,0.1539432555437088,0.16010057046551546,0.1539432555437088,0.0,713600.0
1987-05-14,WMT,0.7136355638504028,0.7229845038598579,0.7074033175867755,0.7198683807280443,15384000.0
1987-05-14,ZSPC,,,,,
1987-05-15,AMZN,,,,,
1987-05-15,COST,7.379056930541992,7.546762769872492,7.295204010876742,7.337130470709367,1227600.0
1987-05-15,INLF,,,,,
1987-05-15,JNJ,2.1252281665802,2.182753134230423,2.1092488138415058,2.1731654445639754,11460800.0
1987-05-15,NVDA,,,,,
1987-05-15,UNH,0.1477852165699005,0.1570219922690536,0.1477852165699005,0.0,1200000.0
1987-05-15,WMT,0.6855890154838562,0.7058455357092501,0.6840309533005737,0.7042869029117272,43041600.0
1987-05-15,ZSPC,,,,,
1987-05-18,AMZN,,,,,
1987-05-18,COST,7.420985698699951,7.420985698699951,7.295206280077918,7.420985698699951,665200.0
1987-05-18,INLF,,,,,
1987-05-18,JNJ,2.115640163421631,2.1316195137925313,2.064506866420504,2.10924850129649,11251200.0
1987-05-18,NVDA,,,,,
1987-05-18,UNH,0.1477852165699005,0.15086387558490583,0.14162789853988994,0.0,1152000.0
1987-05-18,WMT,0.6964960098266602,0.69649600982666,0.6762395065327362,0.6855884424323305,23414400.0
1987-05-18,ZSPC,,,,,
1987-05-19,AMZN,,,,,
1987-05-19,COST,7.253279209136963,7.420985086804869,7.253279209136963,7.337132147970916,691200.0
1987-05-19,INLF,,,,,
1987-05-19,JNJ,2.0645077228546143,2.1444037276207393,2.0645077228546143,2.13162039806746,10784000.0
1987-05-19,NVDA,,,,,
1987-05-19,UNH,0.144706591963768,0.150863911457889,0.144706591963768,0.0,284800.0
1987-05-19,WMT,0.6793561577796936,0.6980540284468987,0.6746814048060279,0.696495967660253,18681600.0
1987-05-19,ZSPC,,,,,
1987-05-20,AMZN,,,,,
1987-05-20,COST,7.211355209350586,7.337134660676469,7.169428725575292,7.337134660676469,1437200.0
1987-05-20,INLF,,,,,
1987-05-20,JNJ,2.109248638153076,2.1284236257726494,2.051723675294356,2.0677030267020613,10182400.0
1987-05-20,NVDA,,,,,
1987-05-20,UNH,0.144706591963768,0.1477852517108285,0.14162793221670752,0.0,3350400.0
1987-05-20,WMT,0.6637747287750244,0.677798423844879,0.6622166672370414,0.6746817301549091,31032000.0
1987-05-20,ZSPC,,,,,
1987-05-21,AMZN,,,,,
1987-05-21,COST,7.337130069732666,7.420982984815326,7.337130069732667,7.337130069732667,426800.0
1987-05-21,INLF,,,,,
1987-05-21,JNJ,2.1124444007873535,2.1603816687942787,2.1124444007873535,2.141206683568294,5508800.0
1987-05-21,NVDA,,,,,
1987-05-21,UNH,0.144706591963768,0.1477852517108285,0.14162793221670752,0.0,2768000.0
1987-05-21,WMT,0.6887048482894897,0.7042860212308114,0.6715650445018626,0.6731231047346422,27062400.0
1987-05-21,ZSPC,,,,,
1987-05-22,AMZN,,,,,
1987-05-22,COST,7.253279209136963,7.3790586173878925,7.169426270303009,7.3790586173878925,463600.0
1987-05-22,INLF,,,,,
1987-05-22,JNJ,2.132873296737671,2.1489342856893927,2.123237017053999,2.132873296737671,4467200.0
1987-05-22,NVDA,,,,,
1987-05-22,UNH,0.144706591963768,0.1477852517108285,0.144706591963768,0.0,649600.0
1987-05-22,WMT,0.6964960098266602,0.7058449457262544,0.6871470739270658,0.7011701924695756,14985600.0
1987-05-22,ZSPC,,,,,
1987-05-26,AMZN,,,,,
1987-05-26,COST,7.253279209136963,7.253279209136963,7.127499800886032,7.211352739719986,851200.0
1987-05-26,INLF,,,,,
1987-05-26,JNJ,2.1746315956115723,2.184267875478195,2.1617829610499357,2.184267875478195,7235200.0
1987-05-26,NVDA,,,,,
1987-05-26,UNH,0.1477852165699005,0.1477852165699005,0.14470655755489523,0.0,67200.0
1987-05-26,WMT,0.7105193734169006,0.712077434835225,0.701170434292994,0.7074032505802518,10339200.0
1987-05-26,ZSPC,,,,,
1987-05-27,AMZN,,,,,
1987-05-27,COST,7.337130069732666,7.420982984815326,7.211350697108678,7.253277154650007,642800.0
1987-05-27,INLF,,,,,
1987-05-27,JNJ,2.1682069301605225,2.1906918409781593,2.164994575981348,2.171418892230551,7054400.0
1987-05-27,NVDA,,,,,
1987-05-27,UNH,0.144706591963768,0.1477852517108285,0.144706591963768,0.0,96000.0
1987-05-27,WMT,0.7167519927024841,0.7183100536925703,0.7042863635541883,0.7074030561481639,17188800.0
1987-05-27,ZSPC,,,,,
1987-05-28,AMZN,,,,,
1987-05-28,COST,7.379056930541992,7.379056930541992,7.253277551044117,7.337130470709367,269600.0
1987-05-28,INLF,,,,,
1987-05-28,JNJ,2.184267282485962,2.187479636308875,2.1264484426554513,2.1682066896987044,6147200.0
1987-05-28,NVDA,,,,,
1987-05-28,UNH,0.144706591963768,0.1477852517108285,0.14162793221670752,0.0,1472000.0
1987-05-28,WMT,0.7183099985122681,0.7198680593826646,0.7058449409353367,0.7136352452873191,14476800.0
1987-05-28,ZSPC,,,,,
1987-05-29,AMZN,,,,,
1987-05-29,COST,7.253279209136963,7.3790586173878925,7.211352739719986,7.295205678553939,454000.0
1987-05-29,INLF,,,,,
1987-05-29,JNJ,2.209965229034424,2.21960190137843,2.1939046312733788,2.209965229034424,6499200.0
1987-05-29,NVDA,,,,,
1987-05-29,UNH,0.13854843378067017,0.14778520900714054,0.13854843378067017,0.0,2233600.0
1987-05-29,WMT,0.7292169332504272,0.7323330547264143,0.7183099374707616,0.7198679982087551,20496000.0
1987-05-29,ZSPC,,,,,
1987-06-01,AMZN,,,,,
1987-06-01,COST,7.127503871917725,7.25328335201039,7.127503871917725,7.25328335201039,270000.0
1987-06-01,INLF,,,,,
